日期,基金代码,基金名称,基金份额(亿份),ETF收盘价
20230630,510310,沪深300ETF易方达,97.383074,1.8508
20230630,510500,中证500ETF南方,79.48968599999999,6.0882
20230703,510050,上证50ETF华夏,227.517668,2.583
20230703,510300,沪深300ETF华泰柏瑞,186.367877,3.9313
20230703,510310,沪深300ETF易方达,97.723074,1.8753
20230703,510500,中证500ETF南方,78.805686,6.1328
20230705,510050,上证50ETF华夏,216.897668,2.571
20230705,510300,沪深300ETF华泰柏瑞,186.295877,3.9088
20230705,510310,沪深300ETF易方达,99.323074,1.8646
20230705,510500,中证500ETF南方,76.409686,6.1123
20230706,510050,上证50ETF华夏,216.618668,2.552
20230706,510300,沪深300ETF华泰柏瑞,186.610877,3.8836
20230706,510310,沪深300ETF易方达,99.543074,1.8526
20230706,510500,中证500ETF南方,75.465686,6.082
20230712,510050,上证50ETF华夏,217.410668,2.568
20230712,510300,沪深300ETF华泰柏瑞,191.479877,3.8899
20230712,510310,沪深300ETF易方达,102.243074,1.8557
20230712,510500,中证500ETF南方,75.041686,6.0612
20230718,510050,上证50ETF华夏,212.703668,2.583
20230718,510300,沪深300ETF华泰柏瑞,193.621877,3.9171
20230718,510310,沪深300ETF易方达,106.743074,1.8688
20230718,510500,中证500ETF南方,74.457686,6.1035
20230719,510050,上证50ETF华夏,213.945668,2.589
20230719,510300,沪深300ETF华泰柏瑞,195.358877,3.9139
20230719,510310,沪深300ETF易方达,108.863074,1.8673
20230719,510500,中证500ETF南方,74.417686,6.0956
20230721,510050,上证50ETF华夏,214.971668,2.585
20230721,510300,沪深300ETF华泰柏瑞,201.991877,3.8878
20230721,510310,沪深300ETF易方达,110.503074,1.8549
20230721,510500,中证500ETF南方,77.601686,6.0296
20230724,510050,上证50ETF华夏,213.882668,2.575
20230724,510300,沪深300ETF华泰柏瑞,202.207877,3.8708
20230724,510310,沪深300ETF易方达,111.023074,1.8468
20230724,510500,中证500ETF南方,77.809686,6.0208
20230726,510050,上证50ETF华夏,206.547668,2.653
20230726,510300,沪深300ETF华泰柏瑞,202.900877,3.9745
20230726,510310,沪深300ETF易方达,112.183074,1.8965
20230726,510500,中证500ETF南方,78.317686,6.1076
20230727,510050,上证50ETF华夏,202.245668,2.652
20230727,510300,沪深300ETF华泰柏瑞,202.828877,3.9697
20230727,510310,沪深300ETF易方达,114.163074,1.8942
20230727,510500,中证500ETF南方,78.36168599999999,6.0671
20230802,510050,上证50ETF华夏,219.867668,2.699
20230802,510300,沪深300ETF华泰柏瑞,233.806877,4.0396
20230802,510310,沪深300ETF易方达,129.043074,1.9278
20230802,510500,中证500ETF南方,79.73368599999999,6.1866
20230808,510050,上证50ETF华夏,234.68166800000003,2.71
20230808,510300,沪深300ETF华泰柏瑞,255.694877,4.0494
20230808,510310,沪深300ETF易方达,133.323074,1.9327
20230808,510500,中证500ETF南方,82.853686,6.1774
20230809,510050,上证50ETF华夏,241.206668,2.707
20230809,510300,沪深300ETF华泰柏瑞,265.531877,4.0382
20230809,510310,沪深300ETF易方达,133.883074,1.9273
20230809,510500,中证500ETF南方,85.845686,6.1323
20230811,510050,上证50ETF华夏,238.083668,2.646
20230811,510300,沪深300ETF华泰柏瑞,268.483877,3.9557
20230811,510310,沪深300ETF易方达,136.103074,1.8878
20230811,510500,中证500ETF南方,85.75768599999999,6.0229
20230814,510050,上证50ETF华夏,238.81266800000003,2.625
20230814,510300,沪深300ETF华泰柏瑞,271.831877,3.9268
20230814,510310,沪深300ETF易方达,137.763074,1.874
20230814,510500,中证500ETF南方,86.765686,6.0258
20230816,510050,上证50ETF华夏,244.860668,2.606
20230816,510300,沪深300ETF华泰柏瑞,276.223877,3.8887
20230816,510310,沪深300ETF易方达,142.983074,1.8558
20230816,510500,中证500ETF南方,87.405686,5.9414
20230817,510050,上证50ETF华夏,246.876668,2.612
20230817,510300,沪深300ETF华泰柏瑞,281.614877,3.9014
20230817,510310,沪深300ETF易方达,144.743074,1.862
20230817,510500,中证500ETF南方,88.901686,5.9832
20230823,510050,上证50ETF华夏,244.815668,2.535
20230823,510300,沪深300ETF华泰柏瑞,290.488877,3.7655
20230823,510310,沪深300ETF易方达,148.203074,1.7969
20230823,510500,中证500ETF南方,90.593686,5.735
20230829,510050,上证50ETF华夏,251.529668,2.607
20230829,510300,沪深300ETF华泰柏瑞,317.452877,3.863
20230829,510310,沪深300ETF易方达,156.983074,1.8439
20230829,510500,中证500ETF南方,99.677686,5.8787
20230830,510050,上证50ETF华夏,249.25266800000003,2.6
20230830,510300,沪深300ETF华泰柏瑞,315.085877,3.861
20230830,510310,沪深300ETF易方达,159.083074,1.8431
20230830,510500,中证500ETF南方,98.597686,5.8831
20230901,510050,上证50ETF华夏,243.726668,2.611
20230901,510300,沪深300ETF华泰柏瑞,312.178877,3.8645
20230901,510310,沪深300ETF易方达,160.743074,1.8449
20230901,510500,中证500ETF南方,98.237686,5.8578
20230904,510050,上证50ETF华夏,239.81166800000003,2.657
20230904,510300,沪深300ETF华泰柏瑞,310.225877,3.9228
20230904,510310,沪深300ETF易方达,160.103074,1.8729
20230904,510500,中证500ETF南方,98.933686,5.9388
20230906,510050,上证50ETF华夏,241.458668,2.638
20230906,510300,沪深300ETF华泰柏瑞,312.097877,3.8852
20230906,510310,沪深300ETF易方达,160.183074,1.8549
20230906,510500,中证500ETF南方,96.993686,5.8991
20230907,510050,上证50ETF华夏,241.67466800000005,2.612
20230907,510300,沪深300ETF华泰柏瑞,312.295877,3.8309
20230907,510310,沪深300ETF易方达,159.563074,1.8289
20230907,510500,中证500ETF南方,95.145686,5.8095
20230913,510050,上证50ETF华夏,238.677668,2.602
20230913,510300,沪深300ETF华泰柏瑞,310.936877,3.8086
20230913,510310,沪深300ETF易方达,157.463074,1.8183
20230913,510500,中证500ETF南方,90.105686,5.8208
20230919,510050,上证50ETF华夏,235.608668,2.61
20230919,510300,沪深300ETF华泰柏瑞,308.443877,3.7925
20230919,510310,沪深300ETF易方达,160.363074,1.8108
20230919,510500,中证500ETF南方,95.313686,5.7929
20230920,510050,上证50ETF华夏,235.563668,2.6
20230920,510300,沪深300ETF华泰柏瑞,309.415877,3.778
20230920,510310,沪深300ETF易方达,160.843074,1.8038
20230920,510500,中证500ETF南方,97.093686,5.7556
20230922,510050,上证50ETF华夏,240.423668,2.63
20230922,510300,沪深300ETF华泰柏瑞,312.646877,3.8116
20230922,510310,沪深300ETF易方达,162.003074,1.82
20230922,510500,中证500ETF南方,98.885686,5.8043
20230925,510050,上证50ETF华夏,241.125668,2.608
20230925,510300,沪深300ETF华泰柏瑞,311.908877,3.7867
20230925,510310,沪深300ETF易方达,161.943074,1.8081
20230925,510500,中证500ETF南方,97.505686,5.7715
20230927,510050,上证50ETF华夏,246.219668,2.599
